submissionDate,state,totalCases,newCases,totalDeaths,newDeaths
11/19/2020,TX,1155130,14270,22288,169
06/26/2020,WV,2730,36,92,0
11/08/2020,MA,171399,1823,10201,20
07/03/2021,TX,2994052,1438,51493,13
08/25/2021,UT,457098,1585,2605,12
06/25/2021,WV,163804,60,2876,0
01/30/2022,HI,212768,2683,1168,7
04/07/2021,KS,303767,540,4932,5
04/09/2021,AR,331882,178,5661,-1
04/24/2020,PW,0,0,0,0
08/28/2020,NYC,235965,337,23394,7
11/22/2020,AR,145173,1352,2357,20
07/05/2020,MA,104502,111,8224,18
05/08/2021,AK,66196,76,343,0
04/24/2021,NYC,920926,1790,32397,42
03/26/2022,MA,1692177,0,20072,0
03/04/2020,CO,1,0,0,0
09/25/2021,HI,75391,394,742,0
10/20/2021,HI,80139,134,871,0
03/13/2022,UT,925519,0,4539,0
04/01/2020,AK,141,13,6,0
04/17/2020,HI,564,20,9,0
12/07/2021,FL,3731139,1960,62403,30
03/19/2021,CO,458501,1755,6065,5
10/12/2020,OK,108292,884,1552,17
03/05/2020,AS,0,0,0,0
10/14/2021,TX,4149312,5852,67202,190
08/04/2021,NYC,983767,1975,33564,3
01/30/2022,PR,456623,1615,3854,17
07/09/2020,UT,28054,574,209,8
03/03/2020,MA,2,1,0,0
12/01/2020,AK,32332,539,208,3
06/12/2020,AS,0,0,0,0
09/30/2020,MP,70,0,2,0
09/15/2021,FL,3484644,9541,55392,255
01/23/2020,AS,0,0,0,0
12/30/2020,OK,321373,4828,4509,59
10/19/2021,MP,289,1,3,0
03/14/2022,FL,5828464,1200,73067,37
11/19/2020,CO,192862,6411,2730,79
12/20/2021,OK,689800,3895,11336,0
02/05/2020,TX,0,0,0,0
01/01/2022,MA,1140614,0,20273,0
02/19/2022,MP,8644,222,26,0
07/15/2020,PW,0,0,0,0
06/20/2021,OK,455994,153,7362,0
06/08/2020,PW,0,0,0,0
09/16/2020,AR,72219,862,1157,154
06/02/2020,HI,646,1,17,0
02/07/2020,MP,0,0,0,0
01/21/2022,NYC,2173212,0,37367,0
10/04/2020,PW,0,0,0,0
05/30/2021,KS,314207,105,5076,0
11/21/2021,WV,288967,720,4726,0
02/13/2022,GA,2434131,0,34076,0
06/05/2020,TX,71613,1693,2044,25
03/11/2020,GA,55,16,0,0
07/07/2020,NYC,220127,164,23040,9
12/14/2021,OK,680617,0,11336,0
05/24/2020,TX,55348,839,1732,32
12/03/2020,UT,206165,3945,917,11
02/07/2022,TX,6383581,14295,79429,17
08/31/2021,WV,189690,1030,3084,10
02/15/2021,CO,425259,634,5826,2
01/13/2022,OK,796987,11227,11740,0
08/07/2020,WV,7433,156,127,3
03/13/2020,CO,53,11,0,0
04/14/2020,UT,2453,61,20,2
03/27/2020,NYC,36469,4892,580,142
01/26/2022,MP,4564,124,23,1
09/12/2021,MA,780412,1695,18362,6
03/18/2021,MA,608318,1941,16838,35
01/12/2022,NYC,2045805,35349,36380,145
03/22/2022,AS,1626,70,0,0
12/23/2021,WV,319035,1495,5251,9
03/20/2022,MP,10734,45,31,0
10/26/2021,AS,4,0,0,0
02/13/2022,TX,6458425,8850,80988,228
09/26/2021,NYC,1079831,1546,34196,15
01/14/2022,PW,43,0,0,0
12/04/2020,NYC,336414,3831,24117,27
03/19/2020,KS,35,14,1,0
01/25/2022,OK,931033,8159,12044,0
05/11/2021,KS,311132,205,5016,0
10/10/2020,AK,9464,231,80,1
09/07/2020,WV,11575,163,247,1
02/05/2021,AR,304723,1824,5050,41
10/08/2021,GA,1602667,3274,27142,131
05/06/2021,AS,0,0,0,0
02/08/2022,GA,2419503,4574,33665,120
03/13/2020,PR,0,0,0,0
02/20/2021,MA,567764,1970,15874,36
08/14/2020,NYC,232254,338,23326,2
02/25/2022,OK,1020367,878,12990,0
06/19/2021,FL,2316070,1716,37747,34
06/06/2020,FL,61850,1390,2847,32
02/07/2021,NYC,647630,5286,27757,84
08/17/2021,KS,351886,1502,5394,0
07/31/2020,GA,190734,4308,3752,81
03/28/2022,CO,1344552,213,11966,15
06/25/2020,KS,12970,0,261,0
01/02/2021,CO,352718,1911,4912,39
02/14/2020,TX,0,0,0,0
05/26/2021,TX,2938914,2181,50808,32
11/23/2021,PW,10,0,0,0
08/04/2020,NYC,229461,147,23282,2
10/12/2021,AK,119546,444,590,16
05/23/2021,AS,0,0,0,0
02/28/2021,AS,4,0,0,0
05/20/2020,AR,5003,80,107,5
12/11/2021,UT,610681,0,3640,0
09/10/2021,TX,3787220,23245,58332,400
05/26/2021,AK,67317,65,362,0
09/15/2021,AS,0,0,0,0
07/30/2020,WV,6422,96,115,3
